Product name,Category,Option,Brand,Sold by,Country of Manufacture,Express Shipping,Return Policy,Warranty,Image URL,Price,Special price,Discount,Quantity,Description,Availability,Product link
Bakea Chocolate Chips,Baking Ingredients,95 gm,Bakea,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages6904542109413.jpg,Rs 140 | Exact price: 140.0000 PKR,,false,3,,1,https://hummart.com/bakea-chocolate-chips-95-gm.html
Rafhan Strawberry Jelly,Noodles Sauces & Frozen Foods,80 gm,Rafhan,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/s/t/strawberry_jell.jpg,Rs 65 | Exact price: 65.0000 PKR,,false,53,Garnish your Rafhan custard with Rafhan crystal jelly. Strawberry custard topped with strawberry jelly is a must have!,1,https://hummart.com/rafhan-strawberry-jelly-80-gm.html
Lesaffre Saf-Instant Yeast Pack,Baking Ingredients,500 gm,Lesaffre,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages3267794000006.jpg,Rs 599 | Exact price: 599.0000 PKR,,false,16,,1,https://hummart.com/lesaffre-saf-instant-yeast-pack-500-gm.html
Bicarbonate Soda (Meetha Soda),Baking Ingredients,200 gm,A&S,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia10067.jpg,Rs 30 | Exact price: 30.0000 PKR,,false,12,,1,https://hummart.com/bicarbonate-soda-meetha-soda-200-gm.html
Carte D'Or Strawbrry Topping,Baking Ingredients,1.28kg,Carte Dor,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961014004403.jpg,Rs 796 | Exact price: 799.0000 PKR,796.0000,true,1,,1,https://hummart.com/carte-dor-strawbrry-topping-1-28kg.html
The Earth'S Gluten FREE Xanthan Gum Pouch,Baking Ingredients,250 gm,The Earth's,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages8964000717660.jpg,"Rs 1,037 | Exact price: 1055.0000 PKR",1037.0000,true,2,,1,https://hummart.com/the-earth-s-gluten-free-xanthan-gum-pouch-250-gm.html
Rossmoor Chocolate Dessert,Baking Ingredients,90 gm,Rossmor,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6281014440073.jpg,Rs 70 | Exact price: 70.0000 PKR,,false,8,,1,https://hummart.com/rossmoor-chocolate-dessert-90-gm.html
Carte D'Or Chocolate Topping,Baking Ingredients,1.20kg,Carte Dor,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961014194807.jpg,Rs 850 | Exact price: 850.0000 PKR,,false,4,,1,https://hummart.com/carte-dor-chocolate-topping-1-20kg.html
Mother Choice Baking Soda,Baking Ingredients,100 gm,Mother Choice,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6415009004463.jpg,Rs 59 | Exact price: 59.0000 PKR,,false,14,,1,https://hummart.com/mother-choice-baking-soda-100-gm.html
Italiano Baking Powder Box,Baking Ingredients,1kg,Italiano,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages8964000717462.jpg,Rs 368 | Exact price: 368.0000 PKR,,false,1,,1,https://hummart.com/italiano-baking-powder-box-1kg.html
